STATION,STATION_NAME,DATE,PRCP,SNWD,TMAX,TMIN
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150721,25,-9999,203,96
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150722,25,-9999,216,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150723,0,-9999,184,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150724,0,-9999,203,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150725,25,-9999,169,127
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150726,0,-9999,165,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150727,0,-9999,182,86
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150728,64,-9999,185,136
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150729,0,-9999,182,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150730,0,-9999,205,78
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150731,-9999,-9999,165,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150801,0,-9999,-9999,102
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150802,0,-9999,190,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150803,10,-9999,215,70
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150804,0,-9999,244,168
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150805,104,-9999,221,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150806,0,-9999,-9999,128
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150807,0,-9999,238,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150808,0,-9999,200,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150809,0,-9999,234,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150810,0,-9999,233,40
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150811,0,-9999,231,139
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150812,0,-9999,195,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150813,0,-9999,-9999,95
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150814,0,-9999,230,131
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150815,3,-9999,-9999,166
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150816,0,-9999,208,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150817,18,-9999,-9999,164
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150818,0,-9999,231,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150819,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150820,0,-9999,-9999,115
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150821,0,-9999,233,118
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150822,0,-9999,246,125
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150823,0,-9999,236,100
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150824,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150825,-9999,-9999,225,-9999
